Case ID,Activity,Start Timestamp,Complete Timestamp
SUB-0006,Formula Check,2026-02-13 11:25:00,2026-02-13 11:53:00
SUB-0006,Visual / Presentation Review,2026-02-13 11:53:00,2026-02-13 12:01:00
SUB-0006,Feedback Approval,2026-02-13 12:01:00,2026-02-13 12:06:00
SUB-0006,Feedback Returned,2026-02-13 12:06:00,2026-02-13 12:06:00
SUB-0007,Submission Received,2026-02-12 11:19:00,2026-02-12 11:19:00
SUB-0007,Formula Check,2026-02-13 11:59:00,2026-02-13 12:21:00
SUB-0007,Visual / Presentation Review,2026-02-13 12:21:00,2026-02-13 12:28:00
SUB-0007,Feedback Approval,2026-02-13 12:28:00,2026-02-13 12:35:00
SUB-0007,Feedback Returned,2026-02-13 12:35:00,2026-02-13 12:35:00
SUB-0008,Submission Received,2026-02-12 11:38:00,2026-02-12 11:38:00
SUB-0008,Formula Check,2026-02-13 12:27:00,2026-02-13 12:56:00
SUB-0008,Visual / Presentation Review,2026-02-13 12:56:00,2026-02-13 13:01:00
SUB-0008,Feedback Approval,2026-02-13 13:01:00,2026-02-13 13:05:00
SUB-0008,Feedback Returned,2026-02-13 13:05:00,2026-02-13 13:05:00
SUB-0009,Submission Received,2026-02-12 12:01:00,2026-02-12 12:01:00
SUB-0009,Formula Check,2026-02-13 12:45:00,2026-02-13 13:12:00
SUB-0009,Visual / Presentation Review,2026-02-13 13:12:00,2026-02-13 13:17:00
SUB-0009,Feedback Approval,2026-02-13 13:17:00,2026-02-13 13:23:00
SUB-0009,Feedback Returned,2026-02-13 13:23:00,2026-02-13 13:23:00
SUB-0010,Submission Received,2026-02-12 12:24:00,2026-02-12 12:24:00
SUB-0010,Formula Check,2026-02-13 13:14:00,2026-02-13 13:30:00
SUB-0010,Visual / Presentation Review,2026-02-13 13:30:00,2026-02-13 13:40:00
SUB-0010,Feedback Approval,2026-02-13 13:40:00,2026-02-13 13:42:00
SUB-0010,Feedback Returned,2026-02-13 13:42:00,2026-02-13 13:42:00
SUB-0011,Submission Received,2026-02-12 12:43:00,2026-02-12 12:43:00
SUB-0011,Formula Check,2026-02-13 13:43:00,2026-02-13 14:08:00
SUB-0011,Visual / Presentation Review,2026-02-13 14:08:00,2026-02-13 14:15:00
SUB-0011,Feedback Approval,2026-02-13 14:15:00,2026-02-13 14:19:00
SUB-0011,Feedback Returned,2026-02-13 14:19:00,2026-02-13 14:19:00
SUB-0012,Submission Received,2026-02-12 13:04:00,2026-02-12 13:04:00
SUB-0012,Formula Check,2026-02-13 14:16:00,2026-02-13 14:41:00
SUB-0012,Visual / Presentation Review,2026-02-13 14:41:00,2026-02-13 14:50:00
SUB-0012,Feedback Approval,2026-02-13 14:50:00,2026-02-13 14:52:00
SUB-0012,Feedback Returned,2026-02-13 14:52:00,2026-02-13 14:52:00
SUB-0013,Submission Received,2026-02-12 13:31:00,2026-02-12 13:31:00
SUB-0013,Formula Check,2026-02-13 14:36:00,2026-02-13 14:54:00
SUB-0013,Visual / Presentation Review,2026-02-13 14:54:00,2026-02-13 14:58:00
SUB-0013,Feedback Approval,2026-02-13 14:58:00,2026-02-13 15:02:00
SUB-0013,Feedback Returned,2026-02-13 15:02:00,2026-02-13 15:02:00
SUB-0014,Submission Received,2026-02-12 13:49:00,2026-02-12 13:49:00
SUB-0014,Formula Check,2026-02-13 15:11:00,2026-02-13 15:34:00
SUB-0014,Visual / Presentation Review,2026-02-13 15:34:00,2026-02-13 15:44:00
SUB-0014,Feedback Approval,2026-02-13 15:44:00,2026-02-13 15:50:00
SUB-0014,Feedback Returned,2026-02-13 15:50:00,2026-02-13 15:50:00
SUB-0015,Submission Received,2026-02-12 14:10:00,2026-02-12 14:10:00
SUB-0015,Formula Check,2026-02-13 15:32:00,2026-02-13 16:01:00
SUB-0015,Visual / Presentation Review,2026-02-13 16:01:00,2026-02-13 16:10:00
SUB-0015,Feedback Approval,2026-02-13 16:10:00,2026-02-13 16:13:00
SUB-0015,Feedback Returned,2026-02-13 16:13:00,2026-02-13 16:13:00
SUB-0016,Submission Received,2026-02-12 14:38:00,2026-02-12 14:38:00
SUB-0016,Formula Check,2026-02-13 16:09:00,2026-02-13 16:39:00
SUB-0016,Visual / Presentation Review,2026-02-13 16:39:00,2026-02-13 16:46:00
SUB-0016,Feedback Approval,2026-02-13 16:46:00,2026-02-13 16:49:00
SUB-0016,Feedback Returned,2026-02-13 16:49:00,2026-02-13 16:49:00
SUB-0017,Submission Received,2026-02-12 15:00:00,2026-02-12 15:00:00
SUB-0017,Formula Check,2026-02-13 16:40:00,2026-02-13 16:57:00
SUB-0017,Visual / Presentation Review,2026-02-13 16:57:00,2026-02-13 17:06:00
SUB-0017,Feedback Approval,2026-02-13 17:06:00,2026-02-13 17:12:00
SUB-0017,Feedback Returned,2026-02-13 17:12:00,2026-02-13 17:12:00
SUB-0018,Submission Received,2026-02-12 15:16:00,2026-02-12 15:16:00
SUB-0018,Formula Check,2026-02-13 17:08:00,2026-02-13 17:27:00
SUB-0018,Visual / Presentation Review,2026-02-13 17:27:00,2026-02-13 17:33:00
SUB-0018,Feedback Approval,2026-02-13 17:33:00,2026-02-13 17:40:00
SUB-0018,Feedback Returned,2026-02-13 17:40:00,2026-02-13 17:40:00
SUB-0019,Submission Received,2026-02-12 15:37:00,2026-02-12 15:37:00
SUB-0019,Formula Check,2026-02-13 17:34:00,2026-02-13 17:52:00
SUB-0019,Visual / Presentation Review,2026-02-13 17:52:00,2026-02-13 17:59:00
SUB-0019,Feedback Approval,2026-02-13 17:59:00,2026-02-13 18:05:00
SUB-0019,Feedback Returned,2026-02-13 18:05:00,2026-02-13 18:05:00
SUB-0020,Submission Received,2026-02-12 16:02:00,2026-02-12 16:02:00
SUB-0020,Formula Check,2026-02-13 17:55:00,2026-02-13 18:13:00
SUB-0020,Visual / Presentation Review,2026-02-13 18:13:00,2026-02-13 18:22:00
SUB-0020,Feedback Approval,2026-02-13 18:22:00,2026-02-13 18:25:00
SUB-0020,Feedback Returned,2026-02-13 18:25:00,2026-02-13 18:25:00
SUB-0021,Submission Received,2026-02-12 16:21:00,2026-02-12 16:21:00
SUB-0021,Formula Check,2026-02-13 18:24:00,2026-02-13 18:41:00
SUB-0021,Visual / Presentation Review,2026-02-13 18:41:00,2026-02-13 18:48:00
SUB-0021,Feedback Approval,2026-02-13 18:48:00,2026-02-13 18:54:00
SUB-0021,Feedback Returned,2026-02-13 18:54:00,2026-02-13 18:54:00
SUB-0022,Submission Received,2026-02-12 16:42:00,2026-02-12 16:42:00
SUB-0022,Formula Check,2026-02-13 18:56:00,2026-02-13 19:29:00
SUB-0022,Visual / Presentation Review,2026-02-13 19:29:00,2026-02-13 19:34:00
SUB-0022,Feedback Approval,2026-02-13 19:34:00,2026-02-13 19:36:00
SUB-0022,Feedback Returned,2026-02-13 19:36:00,2026-02-13 19:36:00
SUB-0023,Submission Received,2026-02-12 17:08:00,2026-02-12 17:08:00
SUB-0023,Formula Check,2026-02-13 19:17:00,2026-02-13 19:33:00
SUB-0023,Visual / Presentation Review,2026-02-13 19:33:00,2026-02-13 19:39:00
SUB-0023,Feedback Approval,2026-02-13 19:39:00,2026-02-13 19:45:00
SUB-0023,Feedback Returned,2026-02-13 19:45:00,2026-02-13 19:45:00
SUB-0024,Submission Received,2026-02-12 17:30:00,2026-02-12 17:30:00
SUB-0024,Formula Check,2026-02-13 19:56:00,2026-02-13 20:18:00
SUB-0024,Visual / Presentation Review,2026-02-13 20:18:00,2026-02-13 20:25:00
SUB-0024,Feedback Approval,2026-02-13 20:25:00,2026-02-13 20:28:00
SUB-0024,Feedback Returned,2026-02-13 20:28:00,2026-02-13 20:28:00
SUB-0025,Submission Received,2026-02-12 17:48:00,2026-02-12 17:48:00
SUB-0025,Formula Check,2026-02-13 20:20:00,2026-02-13 20:50:00
SUB-0025,Visual / Presentation Review,2026-02-13 20:50:00,2026-02-13 20:59:00
SUB-0025,Feedback Approval,2026-02-13 20:59:00,2026-02-13 21:04:00
SUB-0025,Feedback Returned,2026-02-13 21:04:00,2026-02-13 21:04:00
SUB-0026,Submission Received,2026-02-12 18:16:00,2026-02-12 18:16:00
SUB-0026,Formula Check,2026-02-13 20:43:00,2026-02-13 21:06:00
SUB-0026,Visual / Presentation Review,2026-02-13 21:06:00,2026-02-13 21:14:00
SUB-0026,Feedback Approval,2026-02-13 21:14:00,2026-02-13 21:19:00
SUB-0026,Feedback Returned,2026-02-13 21:19:00,2026-02-13 21:19:00
SUB-0027,Submission Received,2026-02-12 18:40:00,2026-02-12 18:40:00
SUB-0027,Formula Check,2026-02-13 21:10:00,2026-02-13 21:27:00
SUB-0027,Visual / Presentation Review,2026-02-13 21:27:00,2026-02-13 21:32:00
SUB-0027,Feedback Approval,2026-02-13 21:32:00,2026-02-13 21:38:00
SUB-0027,Feedback Returned,2026-02-13 21:38:00,2026-02-13 21:38:00
SUB-0028,Submission Received,2026-02-12 19:02:00,2026-02-12 19:02:00
SUB-0028,Formula Check,2026-02-13 21:38:00,2026-02-13 22:01:00
SUB-0028,Visual / Presentation Review,2026-02-13 22:01:00,2026-02-13 22:08:00
SUB-0028,Feedback Approval,2026-02-13 22:08:00,2026-02-13 22:12:00
SUB-0028,Feedback Returned,2026-02-13 22:12:00,2026-02-13 22:12:00
SUB-0029,Submission Received,2026-02-12 19:22:00,2026-02-12 19:22:00
SUB-0029,Formula Check,2026-02-13 22:16:00,2026-02-13 22:37:00
SUB-0029,Visual / Presentation Review,2026-02-13 22:37:00,2026-02-13 22:42:00
SUB-0029,Feedback Approval,2026-02-13 22:42:00,2026-02-13 22:44:00
SUB-0029,Feedback Returned,2026-02-13 22:44:00,2026-02-13 22:44:00
SUB-0030,Submission Received,2026-02-12 19:38:00,2026-02-12 19:38:00
SUB-0030,Formula Check,2026-02-13 22:36:00,2026-02-13 23:10:00
SUB-0030,Visual / Presentation Review,2026-02-13 23:10:00,2026-02-13 23:20:00
SUB-0030,Feedback Approval,2026-02-13 23:20:00,2026-02-13 23:25:00
SUB-0030,Feedback Returned,2026-02-13 23:25:00,2026-02-13 23:25:00
SUB-0031,Submission Received,2026-02-12 20:05:00,2026-02-12 20:05:00
SUB-0031,Formula Check,2026-02-13 23:10:00,2026-02-13 23:30:00
SUB-0031,Visual / Presentation Review,2026-02-13 23:30:00,2026-02-13 23:38:00
SUB-0031,Feedback Approval,2026-02-13 23:38:00,2026-02-13 23:40:00
SUB-0031,Feedback Returned,2026-02-13 23:40:00,2026-02-13 23:40:00
SUB-0032,Submission Received,2026-02-12 20:22:00,2026-02-12 20:22:00
SUB-0032,Formula Check,2026-02-13 23:35:00,2026-02-13 23:52:00
SUB-0032,Visual / Presentation Review,2026-02-13 23:52:00,2026-02-13 23:58:00
SUB-0032,Feedback Approval,2026-02-13 23:58:00,2026-02-14 00:00:00
SUB-0032,Feedback Returned,2026-02-14 00:00:00,2026-02-14 00:00:00
SUB-0033,Submission Received,2026-02-12 20:45:00,2026-02-12 20:45:00
SUB-0033,Formula Check,2026-02-14 00:03:00,2026-02-14 00:19:00
SUB-0033,Visual / Presentation Review,2026-02-14 00:19:00,2026-02-14 00:25:00
SUB-0033,Feedback Approval,2026-02-14 00:25:00,2026-02-14 00:30:00
SUB-0033,Feedback Returned,2026-02-14 00:30:00,2026-02-14 00:30:00
SUB-0034,Submission Received,2026-02-12 21:08:00,2026-02-12 21:08:00
SUB-0034,Formula Check,2026-02-14 00:26:00,2026-02-14 00:52:00
SUB-0034,Visual / Presentation Review,2026-02-14 00:52:00,2026-02-14 00:57:00
SUB-0034,Feedback Approval,2026-02-14 00:57:00,2026-02-14 01:00:00
SUB-0034,Feedback Returned,2026-02-14 01:00:00,2026-02-14 01:00:00
SUB-0035,Submission Received,2026-02-12 21:33:00,2026-02-12 21:33:00
SUB-0035,Formula Check,2026-02-14 01:02:00,2026-02-14 01:36:00
SUB-0035,Visual / Presentation Review,2026-02-14 01:36:00,2026-02-14 01:42:00
SUB-0035,Feedback Approval,2026-02-14 01:42:00,2026-02-14 01:46:00
SUB-0035,Feedback Returned,2026-02-14 01:46:00,2026-02-14 01:46:00
SUB-0036,Submission Received,2026-02-12 21:58:00,2026-02-12 21:58:00
SUB-0036,Formula Check,2026-02-14 01:20:00,2026-02-14 01:38:00
SUB-0036,Visual / Presentation Review,2026-02-14 01:38:00,2026-02-14 01:42:00
SUB-0036,Feedback Approval,2026-02-14 01:42:00,2026-02-14 01:49:00
SUB-0036,Feedback Returned,2026-02-14 01:49:00,2026-02-14 01:49:00
SUB-0037,Submission Received,2026-02-12 22:18:00,2026-02-12 22:18:00
SUB-0037,Formula Check,2026-02-14 01:53:00,2026-02-14 02:07:00
SUB-0037,Visual / Presentation Review,2026-02-14 02:07:00,2026-02-14 02:16:00
SUB-0037,Feedback Approval,2026-02-14 02:16:00,2026-02-14 02:22:00
SUB-0037,Feedback Returned,2026-02-14 02:22:00,2026-02-14 02:22:00
SUB-0038,Submission Received,2026-02-12 22:41:00,2026-02-12 22:41:00
SUB-0038,Formula Check,2026-02-14 02:19:00,2026-02-14 02:47:00
SUB-0038,Visual / Presentation Review,2026-02-14 02:47:00,2026-02-14 02:51:00
SUB-0038,Feedback Approval,2026-02-14 02:51:00,2026-02-14 02:56:00
SUB-0038,Feedback Returned,2026-02-14 02:56:00,2026-02-14 02:56:00
SUB-0039,Submission Received,2026-02-12 23:03:00,2026-02-12 23:03:00
SUB-0039,Formula Check,2026-02-14 02:49:00,2026-02-14 03:14:00
SUB-0039,Visual / Presentation Review,2026-02-14 03:14:00,2026-02-14 03:20:00
SUB-0039,Feedback Approval,2026-02-14 03:20:00,2026-02-14 03:23:00
SUB-0039,Feedback Returned,2026-02-14 03:23:00,2026-02-14 03:23:00
SUB-0040,Submission Received,2026-02-12 23:22:00,2026-02-12 23:22:00
SUB-0040,Formula Check,2026-02-14 03:21:00,2026-02-14 03:40:00
SUB-0040,Visual / Presentation Review,2026-02-14 03:40:00,2026-02-14 03:48:00
SUB-0040,Feedback Approval,2026-02-14 03:48:00,2026-02-14 03:51:00
SUB-0040,Feedback Returned,2026-02-14 03:51:00,2026-02-14 03:51:00
SUB-0041,Submission Received,2026-02-12 23:47:00,2026-02-12 23:47:00
SUB-0041,Formula Check,2026-02-14 03:50:00,2026-02-14 04:23:00
SUB-0041,Visual / Presentation Review,2026-02-14 04:23:00,2026-02-14 04:32:00
SUB-0041,Feedback Approval,2026-02-14 04:32:00,2026-02-14 04:37:00
SUB-0041,Feedback Returned,2026-02-14 04:37:00,2026-02-14 04:37:00
SUB-0042,Submission Received,2026-02-13 00:03:00,2026-02-13 00:03:00
SUB-0042,Formula Check,2026-02-14 04:09:00,2026-02-14 04:34:00
SUB-0042,Visual / Presentation Review,2026-02-14 04:34:00,2026-02-14 04:42:00
SUB-0042,Feedback Approval,2026-02-14 04:42:00,2026-02-14 04:45:00
SUB-0042,Feedback Returned,2026-02-14 04:45:00,2026-02-14 04:45:00
SUB-0043,Submission Received,2026-02-13 00:24:00,2026-02-13 00:24:00
SUB-0043,Formula Check,2026-02-14 04:36:00,2026-02-14 04:56:00
SUB-0043,Visual / Presentation Review,2026-02-14 04:56:00,2026-02-14 05:06:00
SUB-0043,Feedback Approval,2026-02-14 05:06:00,2026-02-14 05:11:00
SUB-0043,Feedback Returned,2026-02-14 05:11:00,2026-02-14 05:11:00
SUB-0044,Submission Received,2026-02-13 00:46:00,2026-02-13 00:46:00
SUB-0044,Formula Check,2026-02-14 05:14:00,2026-02-14 05:38:00
SUB-0044,Visual / Presentation Review,2026-02-14 05:38:00,2026-02-14 05:44:00
SUB-0044,Feedback Approval,2026-02-14 05:44:00,2026-02-14 05:50:00
SUB-0044,Feedback Returned,2026-02-14 05:50:00,2026-02-14 05:50:00
SUB-0045,Submission Received,2026-02-13 01:14:00,2026-02-13 01:14:00
SUB-0045,Formula Check,2026-02-14 05:42:00,2026-02-14 05:57:00
SUB-0045,Visual / Presentation Review,2026-02-14 05:57:00,2026-02-14 06:01:00
SUB-0045,Feedback Approval,2026-02-14 06:01:00,2026-02-14 06:06:00
SUB-0045,Feedback Returned,2026-02-14 06:06:00,2026-02-14 06:06:00
SUB-0046,Submission Received,2026-02-13 01:38:00,2026-02-13 01:38:00
SUB-0046,Formula Check,2026-02-14 06:00:00,2026-02-14 06:25:00
SUB-0046,Visual / Presentation Review,2026-02-14 06:25:00,2026-02-14 06:29:00
SUB-0046,Feedback Approval,2026-02-14 06:29:00,2026-02-14 06:35:00
SUB-0046,Feedback Returned,2026-02-14 06:35:00,2026-02-14 06:35:00
SUB-0047,Submission Received,2026-02-13 01:52:00,2026-02-13 01:52:00
SUB-0047,Formula Check,2026-02-14 06:28:00,2026-02-14 06:44:00
SUB-0047,Visual / Presentation Review,2026-02-14 06:44:00,2026-02-14 06:52:00
SUB-0047,Feedback Approval,2026-02-14 06:52:00,2026-02-14 06:54:00
SUB-0047,Feedback Returned,2026-02-14 06:54:00,2026-02-14 06:54:00
SUB-0048,Submission Received,2026-02-13 02:16:00,2026-02-13 02:16:00
SUB-0048,Formula Check,2026-02-14 07:07:00,2026-02-14 07:32:00
SUB-0048,Visual / Presentation Review,2026-02-14 07:32:00,2026-02-14 07:40:00
SUB-0048,Feedback Approval,2026-02-14 07:40:00,2026-02-14 07:44:00
SUB-0048,Feedback Returned,2026-02-14 07:44:00,2026-02-14 07:44:00
SUB-0049,Submission Received,2026-02-13 02:41:00,2026-02-13 02:41:00
SUB-0049,Formula Check,2026-02-14 07:27:00,2026-02-14 07:49:00
SUB-0049,Visual / Presentation Review,2026-02-14 07:49:00,2026-02-14 07:53:00
SUB-0049,Feedback Approval,2026-02-14 07:53:00,2026-02-14 08:00:00
SUB-0049,Feedback Returned,2026-02-14 08:00:00,2026-02-14 08:00:00
SUB-0050,Submission Received,2026-02-13 02:58:00,2026-02-13 02:58:00
SUB-0050,Formula Check,2026-02-14 07:57:00,2026-02-14 08:16:00
SUB-0050,Visual / Presentation Review,2026-02-14 08:16:00,2026-02-14 08:22:00
SUB-0050,Feedback Approval,2026-02-14 08:22:00,2026-02-14 08:26:00
SUB-0050,Feedback Returned,2026-02-14 08:26:00,2026-02-14 08:26:00
SUB-0051,Submission Received,2026-02-13 03:21:00,2026-02-13 03:21:00
SUB-0051,Formula Check,2026-02-14 08:23:00,2026-02-14 08:41:00
SUB-0051,Visual / Presentation Review,2026-02-14 08:41:00,2026-02-14 08:49:00
SUB-0051,Feedback Approval,2026-02-14 08:49:00,2026-02-14 08:56:00
SUB-0051,Feedback Returned,2026-02-14 08:56:00,2026-02-14 08:56:00
SUB-0052,Submission Received,2026-02-13 03:49:00,2026-02-13 03:49:00
SUB-0052,Formula Check,2026-02-14 08:52:00,2026-02-14 09:21:00
SUB-0052,Visual / Presentation Review,2026-02-14 09:21:00,2026-02-14 09:31:00
SUB-0052,Feedback Approval,2026-02-14 09:31:00,2026-02-14 09:33:00
SUB-0052,Feedback Returned,2026-02-14 09:33:00,2026-02-14 09:33:00
SUB-0053,Submission Received,2026-02-13 04:11:00,2026-02-13 04:11:00
SUB-0053,Formula Check,2026-02-14 09:16:00,2026-02-14 09:39:00
SUB-0053,Visual / Presentation Review,2026-02-14 09:39:00,2026-02-14 09:44:00
SUB-0053,Feedback Approval,2026-02-14 09:44:00,2026-02-14 09:48:00
SUB-0053,Feedback Returned,2026-02-14 09:48:00,2026-02-14 09:48:00
SUB-0054,Submission Received,2026-02-13 04:26:00,2026-02-13 04:26:00
SUB-0054,Formula Check,2026-02-14 09:52:00,2026-02-14 10:12:00
SUB-0054,Visual / Presentation Review,2026-02-14 10:12:00,2026-02-14 10:22:00
SUB-0054,Feedback Approval,2026-02-14 10:22:00,2026-02-14 10:26:00
SUB-0054,Feedback Returned,2026-02-14 10:26:00,2026-02-14 10:26:00
SUB-0055,Submission Received,2026-02-13 04:49:00,2026-02-13 04:49:00
SUB-0055,Formula Check,2026-02-14 10:19:00,2026-02-14 10:44:00
SUB-0055,Visual / Presentation Review,2026-02-14 10:44:00,2026-02-14 10:49:00
SUB-0055,Feedback Approval,2026-02-14 10:49:00,2026-02-14 10:54:00
SUB-0055,Feedback Returned,2026-02-14 10:54:00,2026-02-14 10:54:00
SUB-0056,Submission Received,2026-02-13 05:17:00,2026-02-13 05:17:00
SUB-0056,Formula Check,2026-02-14 10:40:00,2026-02-14 10:54:00
SUB-0056,Visual / Presentation Review,2026-02-14 10:54:00,2026-02-14 11:04:00
SUB-0056,Feedback Approval,2026-02-14 11:04:00,2026-02-14 11:08:00
SUB-0056,Feedback Returned,2026-02-14 11:08:00,2026-02-14 11:08:00
SUB-0057,Submission Received,2026-02-13 05:36:00,2026-02-13 05:36:00
SUB-0057,Formula Check,2026-02-14 11:13:00,2026-02-14 11:43:00
SUB-0057,Visual / Presentation Review,2026-02-14 11:43:00,2026-02-14 11:48:00
SUB-0057,Feedback Approval,2026-02-14 11:48:00,2026-02-14 11:51:00
SUB-0057,Feedback Returned,2026-02-14 11:51:00,2026-02-14 11:51:00
SUB-0058,Submission Received,2026-02-13 06:01:00,2026-02-13 06:01:00
SUB-0058,Formula Check,2026-02-14 11:37:00,2026-02-14 12:09:00
SUB-0058,Visual / Presentation Review,2026-02-14 12:09:00,2026-02-14 12:13:00
SUB-0058,Feedback Approval,2026-02-14 12:13:00,2026-02-14 12:20:00
SUB-0058,Feedback Returned,2026-02-14 12:20:00,2026-02-14 12:20:00
SUB-0059,Submission Received,2026-02-13 06:19:00,2026-02-13 06:19:00
SUB-0059,Formula Check,2026-02-14 12:15:00,2026-02-14 12:38:00
SUB-0059,Visual / Presentation Review,2026-02-14 12:38:00,2026-02-14 12:43:00
SUB-0059,Feedback Approval,2026-02-14 12:43:00,2026-02-14 12:50:00
SUB-0059,Feedback Returned,2026-02-14 12:50:00,2026-02-14 12:50:00
SUB-0060,Submission Received,2026-02-13 06:40:00,2026-02-13 06:40:00
SUB-0060,Formula Check,2026-02-14 12:35:00,2026-02-14 12:54:00
SUB-0060,Visual / Presentation Review,2026-02-14 12:54:00,2026-02-14 13:03:00
SUB-0060,Feedback Approval,2026-02-14 13:03:00,2026-02-14 13:10:00
SUB-0060,Feedback Returned,2026-02-14 13:10:00,2026-02-14 13:10:00
SUB-0061,Submission Received,2026-02-13 07:00:00,2026-02-13 07:00:00
SUB-0061,Formula Check,2026-02-14 13:06:00,2026-02-14 13:32:00
SUB-0061,Visual / Presentation Review,2026-02-14 13:32:00,2026-02-14 13:36:00
SUB-0061,Feedback Approval,2026-02-14 13:36:00,2026-02-14 13:43:00
SUB-0061,Feedback Returned,2026-02-14 13:43:00,2026-02-14 13:43:00
SUB-0062,Submission Received,2026-02-13 07:25:00,2026-02-13 07:25:00
SUB-0062,Formula Check,2026-02-14 13:35:00,2026-02-14 13:57:00
SUB-0062,Visual / Presentation Review,2026-02-14 13:57:00,2026-02-14 14:05:00
SUB-0062,Feedback Approval,2026-02-14 14:05:00,2026-02-14 14:12:00
SUB-0062,Feedback Returned,2026-02-14 14:12:00,2026-02-14 14:12:00
SUB-0063,Submission Received,2026-02-13 07:49:00,2026-02-13 07:49:00
SUB-0063,Formula Check,2026-02-14 13:59:00,2026-02-14 14:25:00
SUB-0063,Visual / Presentation Review,2026-02-14 14:25:00,2026-02-14 14:33:00
SUB-0063,Feedback Approval,2026-02-14 14:33:00,2026-02-14 14:36:00
SUB-0063,Feedback Returned,2026-02-14 14:36:00,2026-02-14 14:36:00
SUB-0064,Submission Received,2026-02-13 08:06:00,2026-02-13 08:06:00
SUB-0064,Formula Check,2026-02-14 14:35:00,2026-02-14 14:59:00
SUB-0064,Visual / Presentation Review,2026-02-14 14:59:00,2026-02-14 15:07:00
SUB-0064,Feedback Approval,2026-02-14 15:07:00,2026-02-14 15:09:00
SUB-0064,Feedback Returned,2026-02-14 15:09:00,2026-02-14 15:09:00
SUB-0065,Submission Received,2026-02-13 08:31:00,2026-02-13 08:31:00
SUB-0065,Formula Check,2026-02-14 14:55:00,2026-02-14 15:29:00
SUB-0065,Visual / Presentation Review,2026-02-14 15:29:00,2026-02-14 15:35:00
SUB-0065,Feedback Approval,2026-02-14 15:35:00,2026-02-14 15:37:00
SUB-0065,Feedback Returned,2026-02-14 15:37:00,2026-02-14 15:37:00
SUB-0066,Submission Received,2026-02-13 08:54:00,2026-02-13 08:54:00
SUB-0066,Formula Check,2026-02-14 15:28:00,2026-02-14 15:46:00
SUB-0066,Visual / Presentation Review,2026-02-14 15:46:00,2026-02-14 15:56:00
SUB-0066,Feedback Approval,2026-02-14 15:56:00,2026-02-14 16:00:00
SUB-0066,Feedback Returned,2026-02-14 16:00:00,2026-02-14 16:00:00
SUB-0067,Submission Received,2026-02-13 09:15:00,2026-02-13 09:15:00
SUB-0067,Formula Check,2026-02-14 15:56:00,2026-02-14 16:22:00
SUB-0067,Visual / Presentation Review,2026-02-14 16:22:00,2026-02-14 16:27:00
SUB-0067,Feedback Approval,2026-02-14 16:27:00,2026-02-14 16:33:00
SUB-0067,Feedback Returned,2026-02-14 16:33:00,2026-02-14 16:33:00
SUB-0068,Submission Received,2026-02-13 09:40:00,2026-02-13 09:40:00
SUB-0068,Formula Check,2026-02-14 16:28:00,2026-02-14 16:57:00
SUB-0068,Visual / Presentation Review,2026-02-14 16:57:00,2026-02-14 17:05:00
SUB-0068,Feedback Approval,2026-02-14 17:05:00,2026-02-14 17:07:00
SUB-0068,Feedback Returned,2026-02-14 17:07:00,2026-02-14 17:07:00
SUB-0069,Submission Received,2026-02-13 09:58:00,2026-02-13 09:58:00
